bhat	beta	type
2.365505e-02	0.000000e+00	1e+00
1.294276e-01	0.000000e+00	2e+00
-4.786565e-02	0.000000e+00	1e+00
-5.732568e-02	0.000000e+00	2e+00
2.009595e-02	0.000000e+00	1e+00
2.148854e-02	0.000000e+00	2e+00
2.145379e-02	0.000000e+00	1e+00
-9.026223e-02	0.000000e+00	2e+00
-3.908906e-02	0.000000e+00	1e+00
-3.767372e-02	0.000000e+00	2e+00
-5.266111e-02	0.000000e+00	1e+00
-1.324640e-01	0.000000e+00	2e+00
1.747604e-02	0.000000e+00	1e+00
-6.204394e-03	0.000000e+00	2e+00
-1.169741e-02	0.000000e+00	1e+00
-1.554918e-02	0.000000e+00	2e+00
7.050364e-02	0.000000e+00	1e+00
1.221323e-01	0.000000e+00	2e+00
-8.036080e-03	0.000000e+00	1e+00
-1.077369e-01	0.000000e+00	2e+00
-4.672040e-02	0.000000e+00	1e+00
-6.202761e-02	0.000000e+00	2e+00
-4.916813e-02	0.000000e+00	1e+00
-4.996367e-02	0.000000e+00	2e+00
-2.307567e-03	0.000000e+00	1e+00
-2.501230e-02	0.000000e+00	2e+00
-1.948892e-02	0.000000e+00	1e+00
6.349280e-02	0.000000e+00	2e+00
-9.819860e-02	0.000000e+00	1e+00
-6.000559e-02	0.000000e+00	2e+00
1.528718e-02	0.000000e+00	1e+00
-6.282174e-02	0.000000e+00	2e+00
-7.584140e-02	0.000000e+00	1e+00
-5.808827e-02	0.000000e+00	2e+00
-1.507354e-01	0.000000e+00	1e+00
-1.879969e-02	0.000000e+00	2e+00
2.344723e-03	0.000000e+00	1e+00
-7.073455e-02	0.000000e+00	2e+00
-9.183345e-02	0.000000e+00	1e+00
-1.172789e-01	0.000000e+00	2e+00
-1.166711e-02	0.000000e+00	1e+00
6.601587e-02	0.000000e+00	2e+00
-4.316610e-02	0.000000e+00	1e+00
-5.500205e-02	0.000000e+00	2e+00
7.236398e-02	0.000000e+00	1e+00
1.017029e-01	0.000000e+00	2e+00
3.116150e-03	0.000000e+00	1e+00
1.123692e-02	0.000000e+00	2e+00
-4.056691e-02	0.000000e+00	1e+00
-5.615377e-02	0.000000e+00	2e+00
-1.638391e-02	0.000000e+00	1e+00
-9.774607e-02	0.000000e+00	2e+00
-1.746448e-02	0.000000e+00	1e+00
8.743815e-02	0.000000e+00	2e+00
-1.527550e-01	0.000000e+00	1e+00
-9.444116e-02	0.000000e+00	2e+00
1.065040e-02	0.000000e+00	1e+00
1.788610e-03	0.000000e+00	2e+00
4.137333e-02	0.000000e+00	1e+00
6.816805e-02	0.000000e+00	2e+00
-1.031718e-02	0.000000e+00	1e+00
5.492621e-02	0.000000e+00	2e+00
-6.976470e-03	0.000000e+00	1e+00
-5.490757e-02	0.000000e+00	2e+00
5.580400e-03	0.000000e+00	1e+00
-1.146026e-01	0.000000e+00	2e+00
9.469787e-03	0.000000e+00	1e+00
-2.550055e-02	0.000000e+00	2e+00
-2.200074e-02	0.000000e+00	1e+00
1.732935e-02	0.000000e+00	2e+00
-6.197312e-02	0.000000e+00	1e+00
-1.401914e-02	0.000000e+00	2e+00
-5.392723e-02	0.000000e+00	1e+00
-1.129836e-02	0.000000e+00	2e+00
-1.062121e-02	0.000000e+00	1e+00
-4.789738e-02	0.000000e+00	2e+00
-8.425673e-02	0.000000e+00	1e+00
-9.784141e-02	0.000000e+00	2e+00
-2.316000e-02	0.000000e+00	1e+00
5.263650e-02	0.000000e+00	2e+00
8.788906e-02	0.000000e+00	1e+00
2.076070e-01	0.000000e+00	2e+00
3.252005e-02	0.000000e+00	1e+00
8.363376e-03	0.000000e+00	2e+00
-1.302839e-01	0.000000e+00	1e+00
-1.265294e-01	0.000000e+00	2e+00
2.270308e-02	0.000000e+00	1e+00
4.335279e-02	0.000000e+00	2e+00
5.333975e-02	0.000000e+00	1e+00
2.876303e-02	0.000000e+00	2e+00
5.251308e-02	0.000000e+00	1e+00
8.994573e-02	0.000000e+00	2e+00
1.129586e-02	0.000000e+00	1e+00
-6.825205e-02	0.000000e+00	2e+00
-7.108317e-02	0.000000e+00	1e+00
-5.346945e-02	0.000000e+00	2e+00
-3.217470e-02	0.000000e+00	1e+00
-4.800731e-02	0.000000e+00	2e+00
7.352524e-02	0.000000e+00	1e+00
9.244791e-02	0.000000e+00	2e+00
4.828667e-03	0.000000e+00	1e+00
5.174372e-02	0.000000e+00	2e+00
2.497105e-03	0.000000e+00	1e+00
2.389818e-02	0.000000e+00	2e+00
3.913299e-02	0.000000e+00	1e+00
-1.267190e-02	0.000000e+00	2e+00
5.630865e-02	0.000000e+00	1e+00
7.819541e-02	0.000000e+00	2e+00
1.071051e-02	0.000000e+00	1e+00
-1.406727e-01	0.000000e+00	2e+00
8.595825e-02	0.000000e+00	1e+00
-2.480694e-02	0.000000e+00	2e+00
8.538141e-03	0.000000e+00	1e+00
-1.359721e-02	0.000000e+00	2e+00
7.072889e-02	0.000000e+00	1e+00
-1.295513e-02	0.000000e+00	2e+00
-4.286364e-02	0.000000e+00	1e+00
